Group,Sample, Formate , Acetate , Propionate , Butyrate , Isovalerate , Lactate , Succinate,total_SCFA,Bacteroides,Escherichia_Shigella,Bifidobacterium,Enterococcus,Klebsiella,Streptococcus,Salmonella,Hafnia_Obesumbacterium,Collinsella,Enterobacter,Hungatella,Lacticaseibacillus,Akkermansia,Blautia,Parabacteroides,Anaeroglobus,Veillonella,Eubacterium,Clostridium_sensu_stricto_1,Pluralibacter,Eggerthella,Citrobacter,ash,crude_protein,fat,carbohydrate,total_dietary_fibre,sugar,non_protein_nitrogen,energy,beta_glucan,saturated_fat
food_food,Blackcurrant_and_Kumara_peeled,0.783868731,3.839890712,0.469352195,0.066356706,0.116169797,0.800750224,0.504519276,4.375599613,0.35883256,0.169962923,0.172288107,0.188752929,0.01661744,0.008959592,0.001077306,0.008007972,0.003160097,0.001247879,0.003079299,0.003671817,0.000816957,0.001984038,0.004309223,0.000350124,0.000709226,0.000655361,0.000116708,0.000601496,0.000224439,0.000628428,0.366023579,0.379681175,0.390607252,7.986962278,1.423121528,5.381092916,0.027315192,168.0430641,0.004916735,0.019666939
food_food,Blackcurrant_and_Kumara_peeled,1.022201577,5.210305446,0.591497137,0.057486638,0.143906106,1.14040372,0.73547456,5.859289221,0.404581615,0.14920523,0.147358175,0.203275648,0.015006361,0.008146967,0.000321893,0.000275909,0.005234599,0,0.004460522,0.007319242,0.002958353,0.001854719,0.00672144,0.000958016,0.001463848,0.00167078,0.00013029,0.000559481,0.000758749,0.001371879,0.264179189,0.274036621,0.281922567,5.764626472,1.027144457,3.883828368,0.019714865,121.2858483,0.003548676,0.014194703
food_food_formula,Blackcurrant_and_Kumara_peeled_and_formula,1.233057127,3.443580964,0.411429556,0.019874008,0.088878747,0.650725693,0.709891747,3.874884528,0.358066445,0.217294552,0.2001294,0.084561166,0.022752894,0.013165505,0.00413689,0.000872472,0.008214961,0.001646914,0.005332863,0.003460479,0.001872384,0.003931026,0.004097678,0.000901881,0.000558774,0.00083326,0.000215667,0.000558774,0.000519562,0.000558774,0.294394515,0.785223001,1.985367888,6.435648737,0.496983075,6.00380173,0.095396132,200.1472396,0.000923188,0.163712072
food_food_formula,Blackcurrant_and_Kumara_peeled_and_formula,1.503335099,2.919485813,0.236058309,0.194693535,0.094309927,0.207781302,0.446348044,3.350237657,0.387002087,0.043972298,0.185818791,0.04968239,0.005492237,0.01366753,0.004058981,0.001100741,0.007154815,0.001662577,0.006214599,0.002660123,0.001341528,0.003531543,0.001765772,0.000630633,0.000699429,0.000802623,0.001846034,0.000756759,0.000665031,0.000194923,0.275804901,0.7356399,1.860001342,6.029268106,0.465600956,5.624690185,0.08937232,187.5088927,0.000864893,0.153374433
food_food_formula,Blackcurrant_and_Kumara_peeled_and_formula,1.122148911,2.613094985,0.360326341,0.003878009,0.095949697,0.263255776,0.61231613,2.977299334,0.454714452,0.085312655,0.152420735,0.044244969,0.013775635,0.013886729,0.013968198,0.027640145,0.004525222,0.006102754,0.001636782,0.003495753,0.002258908,0.004347472,0.002170033,0.000481407,0.000711001,0.000822094,0.000207375,0.000548063,0.000466594,0.000348094,0.267386208,0.713185165,1.803226503,5.845230213,0.451388913,5.453001664,0.086644311,181.7853553,0.000838493,0.148692818
food_food,Blackcurrant_and_Kumara_with_skin,0.651037222,3.237112304,0.381068214,0.027916351,0.12337625,0.746968155,0.494502035,3.64609687,0.391897552,0.107979093,0.177815518,0.205774185,0.013947778,0.007866065,0.000786033,0.005634191,0.005984176,0.000849145,0.003310517,0.005089132,0.00527273,0.00242121,0.007659516,0.000659808,0.001331092,0.00364329,0.000258186,0.000682758,0.000499159,0.000602434,0.342913477,0.335668826,0.381551616,6.959694657,1.323356236,4.723512405,0.021733953,148.660237,0.004829767,0.019319069
food_food,Blackcurrant_and_Kumara_with_skin,0.724889475,3.902086409,0.42634834,0.011664638,0.124444079,1.199358916,0.671735026,4.340099387,0.41325319,0.147284483,0.140988587,0.167088038,0.022030152,0.007540816,0.001371058,0.008061818,0.004327058,0.000877477,0.002895673,0.005604883,0.002648883,0.001743985,0.004513521,0.001009098,0.002160787,0.000515518,0.000268727,0.000619718,0.000636171,0.001009098,0.302676673,0.296282095,0.336781087,6.143057547,1.168076175,4.169264595,0.019183733,131.2167323,0.004263052,0.017052207
food_food,Blackcurrant_and_Kumara_with_skin,0.763122535,3.709419274,0.320902255,0.014351501,0.147769028,0.794158127,0.608603842,4.04467303,0.405389505,0.121976034,0.149016451,0.194007139,0.012018455,0.008081603,0.010753354,0.015136971,0.003697986,0.004087248,0.00634762,0.005162141,0.003521049,0.001720714,0.007404819,0.000636974,0.00109701,0.001676479,0.00032291,0.000389262,0.00125183,0.000402532,0.251344625,0.246034527,0.279665146,5.101233869,0.969977849,3.462183709,0.015930293,108.9632051,0.003540065,0.014160261
food_food_formula,Blackcurrant_and_Kumara_with_skin_and_formula,1.292134187,1.562129857,0.079052096,0.146532339,0.083229938,0.387041276,0.211950897,1.787714293,0.294795577,0.046190543,0.189271089,0.092886133,0.005878022,0.014847178,0.005135663,0.001448208,0.004892267,0.001843727,0.006097079,0.003176322,0.003291936,0.004076889,0.000742359,0.000870142,0.000809293,0.001253491,0.006164013,0,0.00099184,0.000273821,0.338468087,0.8903688,2.259943277,7.272992954,0.579234046,6.79960288,0.107588653,226.971349,0.001163121,0.186099292
food_food_formula,Blackcurrant_and_Kumara_with_skin_and_formula,1.659653001,2.684710142,0.164330472,-0.038015972,0.101420368,0.836974572,0.449815964,2.811024641,0.360230369,0.0376523,0.145204945,0.058639264,0.005519616,0.012698666,0.002848548,0.094845105,0.006185164,0.00256458,0.002067637,0.004170771,0.002662194,0.003886804,0.000638927,0.000727666,0.000851902,0.000807532,0.000248471,0.000709918,0.000488069,0.000275093,0.28330693,0.745262732,1.891633558,6.087691527,0.48483454,5.69145125,0.090054608,189.981149,0.000973563,0.155770133
