,metabolite,flux,name,hmdb,kegg.compound,pubchem.compound,inchi,chebi,reaction,global_id
240,glygn5,0.0331144,"glycogen, structure 5 (glycogenin-2[1,4-Glc])",,,,,,EX_glygn5_m,EX_glygn5(e)
241,pecticgal,0.008387559971903633,"Pectic galactan (potato), gal: arab-L: rmn: galur = 78: 9: 4: 9 (www.megazyme.com). Assumed to consist of 100 sugars per macromo... <Preview truncated at 128 characters>",,,,,,EX_pecticgal_m,EX_pecticgal(e)
242,h2,10.0,Hydrogen,HMDB01362,C00282,783.0,InChI=1S/H2/h1H,,EX_h2_m,EX_h2(e)
243,dgtp,0.015019080000000002,dGTP,HMDB01440,C00286,65103.0,,,EX_dgtp_m,EX_dgtp(e)
244,thmmp,0.002381910000000431,Thiamin monophosphate,HMDB02666,C01081,3382778.0,,,EX_thmmp_m,EX_thmmp(e)
245,dgchol,10.000000001,glycochenodeoxycholate,HMDB00637,C05466,,,,EX_dgchol_m,EX_dgchol(e)
246,fald,3.6183256880282713,formaldehyde,HMDB01426,C00067,712.0,InChI=1S/CH2O/c1-2/h1H2,,EX_fald_m,EX_fald(e)
247,mal_L,7.4548440049995355,(S)-malate(2-),HMDB00156,C00149,222656.0,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/p-2/t2-/m0/s1",,EX_mal_L_m,EX_mal_L(e)
248,metsox_R_L,0.05977056000000047,L-methionine-R-sulfoxide,,,,,,EX_metsox_R_L_m,EX_metsox_R_L(e)
249,glcur,7.2536457538624965,D-glucuronate,HMDB00127,C00191,444791.0,,,EX_glcur_m,EX_glcur(e)
250,12ppd_S,7.31481244247076,"(S)-propane-1,2-diol",HMDB06213,C02917,,"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3/t3-/m0/s1",,EX_12ppd_S_m,EX_12ppd_S(e)
251,rmn,10.0,L-Rhamnose,,,,,,EX_rmn_m,EX_rmn(e)
252,sbzcoa,0.004748183984171997,O-Succinylbenzoyl-CoA,,,,,,EX_sbzcoa_m,EX_sbzcoa(e)
253,4hphac,0.03687898040610564,4-hydroxyphenylacetate,HMDB00020,C00642,127.0,"InChI=1S/C8H8O3/c9-7-3-1-6(2-4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)/p-1",,EX_4hphac_m,EX_4hphac(e)
254,nzp,10.0,,,,,,,EX_nzp_m,EX_nzp(e)
255,dextran40,0.004739557249999999,"Dextran 40, 1,6-alpha-D-Glucan",,C00372,,,,EX_dextran40_m,EX_dextran40(e)
256,xylan,0.0005649399999981726,"Oat spelt xylan, MW 79200 (DOI: 10.1002/masy.200551405) = 528 xyl_D",,,,,,EX_xylan_m,EX_xylan(e)
257,cmp,0.027063552857142403,CMP,HMDB00095,C00055,6131.0,,,EX_cmp_m,EX_cmp(e)
258,gtp,10.0,GTP,HMDB01273,C00044,6830.0,,,EX_gtp_m,EX_gtp(e)
259,dtmp,0.0035241000383078604,dTMP,HMDB01227,C00364,9700.0,,,EX_dtmp_m,EX_dtmp(e)
260,Lcystin,0.852886648835522,L-cystine,HMDB00192,C00491,,"InChI=1S/C6H12N2O4S2/c7-3(5(9)10)1-13-14-2-4(8)6(11)12/h3-4H,1-2,7-8H2,(H,9,10)(H,11,12)/t3-,4-/m0/s1",,EX_Lcystin_m,EX_Lcystin(e)
261,bocbnleu,2.112758975000002,,,,,,,EX_bocbnleu_m,EX_bocbnleu(e)
262,5aptn,9.10561296999998,5-Aminopentanoate,,,3720.0,"InChI=1S/C5H11NO2/c6-4-2-1-3-5(7)8/h1-4,6H2,(H,7,8)",,EX_5aptn_m,EX_5aptn(e)
